case_id,ok,engine_type,alpha,mdot0,mdot_core,mdot_cool,mdot_fuel,pi_d,pi_bd,pi_c,pi_f,pi_t,Tt4,f,fcool,eta_t_eff,Twg_est,Vc_cool,Re_x_cool,area_ratio_cool,F_installed,eta0,fc,fail_reason
case_000002,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000010,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000018,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000026,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000034,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000042,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000050,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000058,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000066,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000074,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000082,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000090,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000098,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000106,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000114,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000122,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000130,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000138,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000146,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000154,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000162,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000170,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000178,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000186,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000194,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000202,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000210,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000218,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000226,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000234,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000242,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000250,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000258,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000266,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000274,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000282,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000290,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000298,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000306,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000314,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000322,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000330,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000338,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000346,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000354,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000362,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000370,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000378,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000386,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000394,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000402,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000410,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000418,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000426,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000434,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000442,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000450,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000458,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000466,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000474,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000482,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000490,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000498,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000506,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000514,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000522,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000530,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000538,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000546,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000554,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000562,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000570,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000578,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000586,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000594,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000602,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000610,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000618,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000626,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000634,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000642,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000650,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000658,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000666,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000674,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000682,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000690,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000698,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000706,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000714,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000722,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000730,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000738,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000746,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000754,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000762,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000770,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000778,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000786,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000794,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000802,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000810,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000818,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000826,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000834,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000842,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000850,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000858,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000866,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000874,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000882,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000890,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000898,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000906,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000914,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000922,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000930,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000938,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000946,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000954,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000962,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000970,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000978,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000986,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000994,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001002,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001010,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001018,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001026,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001034,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001042,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001050,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001058,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001066,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001074,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001082,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001090,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001098,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001106,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001114,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001122,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001130,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001138,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001146,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001154,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001162,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001170,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001178,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001186,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001194,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001202,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001210,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001218,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001226,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001234,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001242,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001250,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001258,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001266,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001274,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001282,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001290,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001298,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001306,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001314,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001322,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001330,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001338,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001346,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001354,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001362,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001370,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001378,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001386,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001394,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001402,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001410,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001418,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001426,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001434,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001442,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001450,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001458,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001466,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001474,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001482,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001490,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001498,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001506,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001514,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001522,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001530,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001538,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001546,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001554,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001562,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001570,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001578,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001586,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001594,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001602,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001610,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001618,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001626,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001634,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001642,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001650,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001658,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001666,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001674,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001682,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001690,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001698,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001706,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001714,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001722,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001730,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001738,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001746,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001754,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001762,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001770,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001778,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001786,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001794,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001802,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001810,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001818,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001826,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001834,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001842,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001850,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001858,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001866,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001874,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001882,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001890,0,,,,,,,,,,,,,,,,,,,,,,,'F'
