case_id,ok,engine_type,alpha,mdot0,mdot_core,mdot_cool,mdot_fuel,pi_d,pi_bd,pi_c,pi_f,pi_t,Tt4,f,fcool,eta_t_eff,Twg_est,Vc_cool,Re_x_cool,area_ratio_cool,F_installed,eta0,fc,fail_reason
case_000007,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000015,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000023,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000031,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000039,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000047,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000055,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000063,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000071,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000079,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000087,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000095,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000103,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000111,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000119,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000127,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000135,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000143,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000151,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000159,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000167,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000175,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000183,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000191,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000199,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000207,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000215,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000223,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000231,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000239,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000247,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000255,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000263,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000271,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000279,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000287,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000295,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000303,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000311,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000319,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000327,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000335,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000343,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000351,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000359,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000367,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000375,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000383,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000391,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000399,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000407,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000415,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000423,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000431,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000439,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000447,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000455,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000463,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000471,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000479,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000487,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000495,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000503,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000511,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000519,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000527,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000535,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000543,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000551,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000559,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000567,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000575,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000583,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000591,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000599,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000607,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000615,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000623,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000631,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000639,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000647,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000655,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000663,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000671,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000679,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000687,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000695,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000703,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000711,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000719,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000727,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000735,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000743,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000751,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000759,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000767,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000775,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000783,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000791,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000799,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000807,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000815,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000823,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000831,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000839,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000847,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000855,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000863,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000871,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000879,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000887,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000895,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000903,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000911,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000919,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000927,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000935,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000943,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000951,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000959,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000967,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000975,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000983,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000991,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000999,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001007,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001015,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001023,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001031,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001039,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001047,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001055,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001063,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001071,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001079,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001087,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001095,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001103,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001111,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001119,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001127,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001135,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001143,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001151,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001159,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001167,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001175,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001183,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001191,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001199,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001207,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001215,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001223,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001231,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001239,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001247,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001255,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001263,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001271,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001279,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001287,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001295,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001303,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001311,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001319,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001327,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001335,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001343,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001351,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001359,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001367,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001375,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001383,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001391,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001399,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001407,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001415,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001423,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001431,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001439,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001447,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001455,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001463,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001471,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001479,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001487,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001495,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001503,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001511,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001519,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001527,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001535,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001543,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001551,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001559,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001567,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001575,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001583,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001591,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001599,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001607,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001615,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001623,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001631,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001639,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001647,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001655,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001663,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001671,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001679,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001687,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001695,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001703,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001711,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001719,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001727,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001735,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001743,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001751,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001759,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001767,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001775,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001783,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001791,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_001799,0,,,,,,,,,,,,,,,,,,,,,,,'F'
