case_id,ok,engine_type,alpha,mdot0,mdot_core,mdot_cool,mdot_fuel,pi_d,pi_bd,pi_c,pi_f,pi_t,Tt4,f,fcool,eta_t_eff,Twg_est,Vc_cool,Re_x_cool,area_ratio_cool,F_installed,eta0,fc,fail_reason
case_000001,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000009,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000017,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000025,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000033,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000041,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000049,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000057,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000065,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000073,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000081,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000089,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000097,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000105,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000113,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000121,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000129,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000137,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000145,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000153,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000161,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000169,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000177,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000185,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000193,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000201,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000209,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000217,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000225,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000233,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000241,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000249,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000257,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000265,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000273,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000281,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000289,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000297,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000305,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000313,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000321,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000329,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000337,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000345,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000353,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000361,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000369,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000377,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000385,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000393,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000401,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000409,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000417,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000425,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000433,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000441,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000449,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000457,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000465,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000473,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000481,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000489,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000497,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000505,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000513,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000521,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000529,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000537,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000545,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000553,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000561,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000569,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000577,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000585,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000593,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000601,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000609,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000617,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000625,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000633,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000641,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000649,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000657,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000665,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000673,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000681,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000689,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000697,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000705,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000713,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000721,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000729,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000737,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000745,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000753,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000761,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000769,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000777,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000785,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000793,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000801,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000809,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000817,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000825,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000833,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000841,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000849,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000857,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000865,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000873,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000881,0,,,,,,,,,,,,,,,,,,,,,,,'F'
